Date,Symbol,Open,High,Low,Close,Volume,Change_%
2024-01-01,AAPL,182.50,185.20,181.80,184.30,15000000,0.98
2024-01-02,AAPL,184.50,186.90,183.10,186.20,18500000,1.03
2024-01-03,AAPL,186.00,188.50,185.50,187.80,16200000,0.86
2024-01-04,AAPL,187.90,189.20,186.30,188.90,14800000,0.59
2024-01-05,AAPL,189.00,191.50,188.20,190.80,17300000,1.01
2024-01-01,GOOGL,2750.00,2780.50,2740.20,2765.40,8500000,0.56
2024-01-02,GOOGL,2765.00,2790.80,2755.10,2785.60,9200000,0.73
2024-01-03,GOOGL,2786.00,2805.30,2780.50,2798.20,8800000,0.45
2024-01-04,GOOGL,2798.50,2815.70,2792.10,2810.90,9500000,0.45
2024-01-05,GOOGL,2811.00,2825.40,2805.60,2820.50,8900000,0.34
2024-01-01,MSFT,375.20,378.90,374.10,377.60,12000000,0.64
2024-01-02,MSFT,377.80,381.50,376.20,380.40,13500000,0.74
2024-01-03,MSFT,380.60,383.20,379.30,382.10,11800000,0.45
2024-01-04,MSFT,382.30,385.70,381.50,384.80,12800000,0.71
2024-01-05,MSFT,384.90,387.60,383.40,386.50,12200000,0.44
2024-01-01,TSLA,248.50,252.30,246.80,250.90,25000000,0.97
2024-01-02,TSLA,251.00,254.80,249.50,253.70,28000000,1.12
2024-01-03,TSLA,253.90,257.20,252.10,255.60,26500000,0.75
2024-01-04,TSLA,255.80,259.40,254.20,258.10,27800000,0.98
2024-01-05,TSLA,258.30,261.90,256.70,260.50,26200000,0.93
